Treatment	Genotype	motility	Pulse	Latency
B	I	4.12	69.6	0.7
B	I	7.63	68.8	0.79
B	I	11.65	71.6	0.57
B	I	3.23	70	0.92
B	I	8.37	71.6	0.41
B	I	10.12	70.8	0.89
B	I	2.45	74.4	0.78
B	I	6.47	69.2	0.38
B	I	11.47	72.8	0.15
B	I	1.81	72.4	0.83
B	I	3.70	68.8	0.8
C	I	5.65	69.6	0.28
C	I	3.44	71.2	0.8
C	I	8.97	71.6	0.37
C	I	0.51	72	0.29
C	I	9.74	68	0.34
C	I	5.19	66.8	0.47
C	I	5.56	66.8	0.56
C	I	11.40	70	0.14
C	I	1.57	69.2	0.79
C	I	9.19	66.8	0.86
C	I	2.10	68	0.73
C	I	10.09	72	0.72
C	I	1.38	68.4	0.7
C	I	2.04	71.6	0.9
C	I	11.61	70	0.08
C	I	7.93	64.8	0.65
C	I	9.77	67.6	0.96
C	I	4.03	65.2	0.36
C	I	2.42	68.4	0.46
C	I	9.51	67.2	0.35
C	I	4.09	65.6	0.63
C	I	10.34	66.4	0.93
C	I	4.50	64.4	0.5
C	I	10.92	67.6	0.57
C	I	6.24	67.2	0.55
C	I	0.72	71.6	0.94
C	I	6.33	71.2	0.17
C	I	4.49	68.8	0.28
C	I	1.32	66	0.92
C	I	7.20	66.8	0.16
C	I	3.14	69.2	0.8
C	I	11.20	73.6	0.28
C	I	10.78	68.8	0.11
C	I	2.59	69.6	0.57
C	I	0.78	70.8	0.12
C	I	6.21	66.4	0.55
C	I	3.93	69.2	0.51
C	I	4.48	72	0.44
C	I	7.13	65.6	0.05
C	I	1.40	67.6	0.12
C	I	0.54	68.8	0.76
C	I	8.66	72.4	0.48
C	I	11.60	72.8	0.38
C	I	3.55	68.4	0.32
C	I	3.38	68.8	0.87
A	II	9.34	75.6	0.69
A	II	3.75	72.8	0.24
A	II	3.39	76.4	0.82
A	II	4.00	76.4	0.43
A	II	7.48	71.2	0.09
A	II	5.50	77.6	0.94
A	II	3.38	74.4	0.94
A	II	3.60	74.4	0.94
A	II	4.64	74.4	0.76
A	II	8.36	75.6	0.82
A	II	2.35	74.4	0.94
A	II	9.55	72.8	0.75
A	II	1.27	77.2	0.3
A	II	1.30	78	0.1
A	II	1.92	74.8	0.45
A	II	7.38	75.6	0.42
A	II	4.60	71.6	0.08
A	II	8.62	70	0.38
A	II	0.37	76.4	0.58
A	II	1.44	76.8	0.98
A	II	9.37	77.6	0.61
A	II	4.54	78	0.01
A	II	7.80	73.6	0.08
A	II	10.15	74.4	0.69
A	II	11.85	78	0.07
A	II	4.32	75.6	0.95
A	II	3.24	75.2	0.63
A	II	11.32	72.8	0.66
A	II	4.48	75.2	0.79
A	II	5.31	74.4	0.18
A	II	11.21	74.4	0.1
A	II	5.01	80.4	0.97
A	II	5.40	75.6	0.19
A	II	4.55	76.8	0.12
A	II	3.58	76	0.02
A	II	2.28	75.6	0.43
A	II	10.39	72.4	0.2
A	II	0.65	77.6	0.24
A	II	9.40	74.8	0.64
A	II	1.71	74.8	0.98
A	II	2.82	76.8	0.24
A	II	7.38	71.6	0.52
A	II	5.08	75.2	0.96
A	II	7.13	71.6	0.21
A	II	11.00	76	0.52
A	II	0.10	76	0.85
A	II	4.18	78	0.12
A	II	4.21	80	0.7
A	II	2.01	76	0.62
A	II	11.89	74.8	0.75
A	II	4.31	76	0.2
A	II	9.03	75.2	0.1
A	II	1.35	77.2	0.11
A	II	0.99	76.8	0.9
A	II	11.34	75.6	0.21
B	II	11.01	75.6	0.31
B	II	6.59	70.4	0.51
B	II	11.44	72.8	0.72
B	II	4.44	76.8	0.87
B	II	2.04	75.6	0.07
B	II	1.23	76.4	0.27
B	II	5.04	70.4	0.85
B	II	10.41	72.8	0.76
B	II	5.23	76	0.22
B	II	3.43	77.6	0.44
B	II	9.07	72.8	0.29
B	II	11.27	74.4	0.44
B	II	8.07	78	0.91
B	II	1.90	74	0.36
B	II	7.25	72	0.88
B	II	9.84	74.4	0.56
B	II	10.94	73.6	0.25
B	II	3.28	68.8	0.12
B	II	8.90	76	0.88
B	II	10.44	74.8	0.98
B	II	4.25	77.6	0.24
B	II	3.06	78.4	0.72
B	II	3.53	71.6	0.42
B	II	4.97	76.4	0.63
B	II	1.68	75.2	0.76
B	II	6.25	75.6	0.28
B	II	5.79	72	0.07
B	II	6.12	74	0.84
B	II	1.71	76.4	0.69
B	II	9.52	73.2	0.7
B	II	10.33	74.8	0.54
B	II	7.45	70.4	0.47
B	II	2.88	72	0.48
B	II	5.37	73.6	0.2
B	II	6.10	72.8	0
B	II	11.16	74.4	0.03
B	II	11.81	72	0.96
B	II	10.28	77.6	0.18
B	II	2.97	75.2	0.91
B	II	0.49	71.6	0.95
B	II	4.80	76	0.49
B	II	10.44	72	0.71
B	II	3.87	69.6	0.02
B	II	1.18	71.2	0.47
B	II	10.12	72.8	0.72
B	II	2.65	76	0.36
B	II	2.65	72	0.27
B	II	9.69	72.8	0.22
B	II	3.97	72.8	0.85
B	II	7.35	76.8	0.23
B	II	11.04	73.2	0.83
B	II	1.68	72.4	0.11
B	II	6.79	78.4	0.54
B	II	1.74	72.8	0.86
B	II	4.36	76	0.29
C	II	6.83	72.8	0.27
C	II	3.71	71.6	0.81
C	II	8.38	74.4	0.46
C	II	10.72	72.8	0.85
C	II	1.29	72	0.58
C	II	3.55	72	0.4
C	II	11.33	69.2	0.75
C	II	0.39	71.2	0.62
C	II	4.70	67.2	0.36
C	II	7.70	70.4	0.45
C	II	11.41	75.2	0.4
C	II	9.25	76.4	0.62
C	II	2.90	68.4	0.74
C	II	0.90	73.6	0.34
C	II	10.57	76.4	0.17
C	II	4.12	72.4	0.19
C	II	0.86	69.6	0.06
C	II	11.48	72.4	0.05
C	II	9.69	70.4	0.17
C	II	7.00	69.6	0.22
C	II	0.50	71.6	0.21
C	II	8.17	70.8	0.42
C	II	9.82	71.2	0.8
C	II	8.69	72.4	0.98
C	II	11.96	74.4	0.71
C	II	4.48	67.2	0.81
C	II	11.45	72	0.74
C	II	10.83	73.2	0.17
C	II	6.01	71.2	0.84
C	II	5.83	71.2	0.71
C	II	3.34	68.8	0.06
C	II	5.42	68	0.3
C	II	4.02	65.6	0.69
C	II	1.17	68.8	0.62
C	II	8.55	70.8	0.88
C	II	0.16	68.8	0.79
C	II	11.01	74	0.53
