pop	sex	gol	nol	bnl	bbh	bpl	jub	zmb
NORSE	F	176	176	97	128	95	108	90
NORSE	F	181	181	98	127	94	108	83
NORSE	F	176	175	101	127	94	112	95
NORSE	F	183	181	94	123	93	114	91
NORSE	F	174	172	98	123	94	115	92
NORSE	F	184	184	101	127	102	112	96
NORSE	F	188	187	99	126	98	111	100
NORSE	F	178	177	99	130	98	104	93
NORSE	F	189	187	94	125	91	114	92
NORSE	F	180	179	96	124	98	108	91
NORSE	F	187	186	102	123	101	110	90
NORSE	F	178	176	95	125	95	106	90
NORSE	F	178	176	101	133	100	118	100
NORSE	F	180	179	94	123	86	107	86
NORSE	F	177	177	104	135	93	109	94
NORSE	F	189	188	97	119	102	108	97
NORSE	F	184	182	101	132	92	112	95
NORSE	F	182	181	100	124	93	117	102
NORSE	F	181	181	97	129	90	110	89
NORSE	F	176	174	98	129	90	108	88
NORSE	F	179	177	97	127	92	107	85
NORSE	F	187	185	99	127	90	108	93
NORSE	F	180	179	105	134	95	110	85
NORSE	F	180	179	92	121	90	108	86
NORSE	F	180	179	93	123	90	109	82
NORSE	F	193	190	100	126	94	111	88
NORSE	F	178	178	98	117	87	109	89
NORSE	F	188	187	102	126	98	119	89
NORSE	F	179	178	93	119	90	106	86
NORSE	F	176	174	98	130	94	106	88
NORSE	F	177	175	100	119	101	112	89
ZULU	M	189	187	96	135	100	119	102
ZULU	M	176	173	102	140	100	114	91
ZULU	M	182	180	99	132	97	115	95
ZULU	M	192	190	109	131	113	118	93
ZULU	M	189	186	100	128	103	115	94
ZULU	M	191	189	104	140	97	120	95
ZULU	M	176	174	100	129	105	119	93
ZULU	M	182	181	99	126	105	116	96
ZULU	M	190	190	103	138	103	111	90
ZULU	M	194	192	110	144	101	118	98
ZULU	M	182	180	99	130	105	114	96
ZULU	M	186	184	99	127	102	116	96
ZULU	M	195	193	114	135	116	115	93
ZULU	M	185	183	97	129	100	114	89
ZULU	M	180	178	99	132	96	113	91
ZULU	M	186	183	104	137	102	118	108
ZULU	M	184	182	101	133	98	116	100
ZULU	M	172	172	103	131	106	114	99
ZULU	M	190	188	99	133	93	124	102
ZULU	M	187	185	105	139	107	123	96
ZULU	M	194	193	105	145	106	128	105
ZULU	M	196	194	111	138	114	121	101
ZULU	M	179	177	96	135	91	109	89
ZULU	M	191	190	110	131	116	118	99
ZULU	M	188	187	96	144	90	116	93
ZULU	M	189	186	104	130	106	118	94
ZULU	M	180	178	97	123	103	116	88
ZULU	M	185	184	110	146	108	120	95
ZULU	M	191	189	103	133	101	123	99
ZULU	M	183	182	99	137	100	119	98
ZULU	M	187	185	103	129	102	116	95
ZULU	M	176	174	96	127	96	116	94
ZULU	M	180	179	94	122	97	118	91
ZULU	M	184	183	97	127	95	108	90
ZULU	M	182	180	107	130	112	117	98
ZULU	M	186	183	108	133	106	119	103
ZULU	M	180	178	104	133	107	119	98
ZULU	M	194	192	107	143	100	119	100
ZULU	M	188	186	101	134	103	114	90
ZULU	M	179	178	91	132	96	114	91
ZULU	M	190	189	107	134	108	116	104
ZULU	M	180	178	98	127	109	111	92
ZULU	M	174	173	95	124	96	112	88
ZULU	M	178	177	96	136	101	118	94
ZULU	M	182	181	103	137	100	119	94
ZULU	M	190	188	108	140	106	123	103
ZULU	M	180	179	103	135	100	119	93
ZULU	M	182	180	97	135	95	118	97
ZULU	M	182	181	102	125	94	109	94
ZULU	M	192	190	101	130	98	112	90
ZULU	M	183	181	103	142	103	116	100
ZULU	M	181	178	101	130	104	116	94
ZULU	M	196	192	110	145	114	125	107
ZULU	M	182	181	99	131	98	115	96
ZULU	M	190	189	106	140	107	120	99
ZULU	F	179	176	100	125	101	108	86
ZULU	F	177	175	92	126	98	110	91
ZULU	F	190	189	104	133	104	111	102
ZULU	F	186	185	99	119	97	105	89
ZULU	F	185	183	96	135	99	116	93
ZULU	F	181	181	100	125	109	112	93
ZULU	F	182	180	103	132	103	116	96
ZULU	F	175	173	94	125	103	113	95
ZULU	F	178	176	98	133	94	108	92
ZULU	F	182	182	101	132	104	113	89
ZULU	F	185	182	107	136	101	114	99
ZULU	F	175	175	97	121	102	106	85
ZULU	F	176	175	90	120	94	109	88
ZULU	F	179	178	92	128	102	113	92
ZULU	F	176	175	93	136	98	106	84
ZULU	F	181	181	96	129	98	106	89
ZULU	F	189	187	102	135	105	116	96
ZULU	F	173	172	97	124	96	113	90
ZULU	F	178	178	97	131	98	114	98
ZULU	F	173	171	96	124	94	117	88
ZULU	F	181	180	101	131	104	112	93
ZULU	F	186	183	101	136	99	111	94
ZULU	F	186	185	99	127	98	111	91
ZULU	F	174	173	96	128	90	109	88
ZULU	F	176	175	98	126	102	115	88
ZULU	F	174	174	99	123	97	116	93
ZULU	F	177	176	100	131	96	111	89
ZULU	F	176	175	90	125	88	112	87
ZULU	F	185	184	104	134	104	120	90
ZULU	F	174	173	90	119	89	105	87
ZULU	F	184	182	97	132	98	114	90
ZULU	F	171	171	88	123	89	106	93
ZULU	F	181	179	93	125	94	107	84
ZULU	F	174	173	91	127	98	113	94
ZULU	F	183	182	98	135	98	109	90
ZULU	F	174	174	95	133	89	110	85
ZULU	F	172	171	94	129	97	115	85
ZULU	F	179	179	92	122	99	119	100
ZULU	F	175	174	106	141	107	114	90
ZULU	F	179	178	97	130	101	110	90
ZULU	F	177	180	105	134	105	111	91
ZULU	F	186	184	100	131	103	119	96
ZULU	F	173	172	96	124	98	108	84
ZULU	F	182	180	100	130	109	116	100
ZULU	F	181	181	97	134	97	111	94
ZULU	F	172	172	94	123	92	115	91
BUSHMAN	M	182	180	98	122	98	112	95
BUSHMAN	M	179	176	96	119	95	106	98
BUSHMAN	M	186	184	98	124	101	113	101
BUSHMAN	M	182	177	88	117	90	108	94
BUSHMAN	M	180	177	96	120	92	114	94
BUSHMAN	M	180	180	97	124	92	115	104
BUSHMAN	M	173	170	92	124	96	111	89
BUSHMAN	M	178	176	90	121	91	105	81
BUSHMAN	M	168	166	92	122	93	107	83
BUSHMAN	M	176	173	92	129	86	102	88
BUSHMAN	M	188	184	102	127	98	109	92
BUSHMAN	M	191	188	96	124	97	125	96
BUSHMAN	M	171	170	90	114	94	104	93
BUSHMAN	M	184	182	101	123	101	110	92
BUSHMAN	M	191	190	103	134	99	119	95
BUSHMAN	M	181	179	103	126	106	120	96
BUSHMAN	M	174	174	90	119	91	112	88
BUSHMAN	M	181	176	93	125	91	111	93
BUSHMAN	M	176	175	87	125	85	112	93
BUSHMAN	M	174	171	96	122	96	111	88
BUSHMAN	M	179	177	92	123	92	115	93
BUSHMAN	M	177	175	89	122	91	113	86
BUSHMAN	M	178	176	99	130	100	120	96
BUSHMAN	M	181	179	91	115	93	108	89
BUSHMAN	M	186	184	104	125	103	118	95
BUSHMAN	M	168	166	93	114	92	110	90
BUSHMAN	M	180	178	101	124	96	106	93
BUSHMAN	M	183	180	97	122	100	113	90
BUSHMAN	M	178	177	96	121	95	110	89
BUSHMAN	M	178	174	97	129	92	111	97
BUSHMAN	M	172	170	93	126	86	107	83
BUSHMAN	M	170	170	93	120	88	105	88
BUSHMAN	M	164	161	92	127	89	110	89
BUSHMAN	M	172	170	93	117	89	109	97
BUSHMAN	M	177	173	87	114	88	109	94
BUSHMAN	M	172	169	90	119	89	110	92
BUSHMAN	M	185	182	98	129	96	115	95
BUSHMAN	F	174	173	91	117	91	106	86
BUSHMAN	F	178	177	92	119	90	108	82
BUSHMAN	F	179	178	95	121	99	108	97
BUSHMAN	F	180	180	98	121	90	112	98
BUSHMAN	F	170	168	88	119	89	98	86
BUSHMAN	F	167	165	86	112	88	108	87
BUSHMAN	F	167	165	89	117	86	110	94
BUSHMAN	F	175	173	92	123	84	107	93
BUSHMAN	F	173	170	86	111	88	110	90
BUSHMAN	F	167	164	90	115	87	100	84
BUSHMAN	F	170	168	90	119	91	97	84
BUSHMAN	F	180	177	96	125	101	107	94
BUSHMAN	F	171	170	85	113	87	103	93
BUSHMAN	F	179	179	96	123	95	100	87
BUSHMAN	F	175	172	93	122	90	101	84
BUSHMAN	F	162	161	89	117	88	109	93
BUSHMAN	F	169	168	92	120	93	106	92
BUSHMAN	F	163	161	96	120	90	109	92
BUSHMAN	F	171	170	92	123	88	106	92
BUSHMAN	F	168	167	94	119	94	108	95
BUSHMAN	F	164	163	86	117	86	104	83
BUSHMAN	F	166	164	89	117	88	99	86
BUSHMAN	F	161	160	84	107	89	101	82
BUSHMAN	F	169	166	87	113	87	99	86
BUSHMAN	F	168	166	89	114	90	103	91
BUSHMAN	F	179	179	99	128	93	107	89
BUSHMAN	F	178	177	95	124	91	116	100
BUSHMAN	F	172	171	94	119	98	110	91
BUSHMAN	F	165	164	96	123	95	112	92
BUSHMAN	F	167	167	92	119	94	108	88
BUSHMAN	F	173	171	92	127	87	109	92
BUSHMAN	F	184	183	99	131	92	108	90
BUSHMAN	F	172	171	88	119	90	104	84
BUSHMAN	F	174	172	89	121	85	101	90
BUSHMAN	F	177	176	97	115	98	111	88
BUSHMAN	F	166	165	94	116	97	101	87
BUSHMAN	F	173	172	93	116	97	107	88
BUSHMAN	F	180	180	93	120	97	106	85
BUSHMAN	F	164	163	88	115	87	98	86
BUSHMAN	F	169	168	90	124	88	106	84
BUSHMAN	F	172	170	89	115	86	103	85
BUSHMAN	F	181	180	96	130	88	108	91
BUSHMAN	F	182	180	91	123	85	113	90
BUSHMAN	F	171	169	89	121	90	101	84
BUSHMAN	F	172	171	96	132	95	105	91
AUSTRALI	M	194	190	103	123	109	127	103
AUSTRALI	M	191	186	103	131	107	118	101
AUSTRALI	M	188	186	100	127	102	123	92
AUSTRALI	M	184	180	104	128	104	122	94
AUSTRALI	M	179	175	98	122	97	115	99
AUSTRALI	M	192	187	103	130	109	120	97
AUSTRALI	M	187	181	97	129	103	125	98
AUSTRALI	M	196	190	107	123	110	123	99
AUSTRALI	M	185	180	96	129	100	112	98
AUSTRALI	M	185	180	97	125	102	118	97
AUSTRALI	M	186	180	100	130	99	113	93
AUSTRALI	M	186	181	103	129	104	120	101
AUSTRALI	M	184	180	98	129	104	118	98
AUSTRALI	M	186	180	102	126	103	117	99
AUSTRALI	M	181	177	100	122	101	117	94
AUSTRALI	M	183	180	107	127	113	116	92
AUSTRALI	M	180	175	98	133	97	116	92
AUSTRALI	M	183	178	99	130	100	122	102
AUSTRALI	M	193	186	101	132	103	123	99
AUSTRALI	M	188	183	103	130	106	121	100
AUSTRALI	M	197	192	105	139	110	119	100
AUSTRALI	M	200	197	108	122	112	124	102
AUSTRALI	M	189	185	101	127	111	127	107
AUSTRALI	M	195	187	106	123	111	118	98
AUSTRALI	M	192	188	103	120	110	119	98
AUSTRALI	M	189	185	102	129	108	118	97
AUSTRALI	M	192	186	99	125	108	119	96
AUSTRALI	M	195	193	102	137	109	122	97
AUSTRALI	M	195	192	109	133	107	123	98
AUSTRALI	M	188	183	104	131	107	119	99
AUSTRALI	M	194	188	100	138	110	127	109
AUSTRALI	M	201	196	100	134	104	121	99
AUSTRALI	M	196	192	106	136	107	121	100
AUSTRALI	M	192	186	104	139	104	126	99
AUSTRALI	M	198	190	99	124	113	119	97
AUSTRALI	M	189	183	99	131	101	120	88
AUSTRALI	M	196	189	105	133	109	121	102
AUSTRALI	M	190	185	100	137	101	123	96
AUSTRALI	M	195	192	109	135	109	124	95
AUSTRALI	M	184	179	103	133	104	115	96
AUSTRALI	M	189	184	97	122	101	121	99
AUSTRALI	M	190	184	100	130	110	120	94
AUSTRALI	M	195	190	103	124	105	118	96
AUSTRALI	M	189	184	99	132	105	123	98
AUSTRALI	M	198	194	107	125	110	131	108
AUSTRALI	M	201	196	107	126	109	128	106
AUSTRALI	M	188	184	101	136	102	126	104
AUSTRALI	M	196	191	104	143	103	127	101
AUSTRALI	M	189	185	98	127	102	118	99
AUSTRALI	M	186	182	105	124	114	118	95
AUSTRALI	M	188	182	100	137	98	123	96
AUSTRALI	M	189	183	99	133	99	122	97
AUSTRALI	F	191	187	101	127	107	116	95
AUSTRALI	F	189	183	96	121	98	111	88
AUSTRALI	F	178	175	96	121	104	113	91
AUSTRALI	F	180	177	100	130	103	113	96
AUSTRALI	F	188	184	98	126	102	116	98
AUSTRALI	F	174	168	92	120	102	113	95
AUSTRALI	F	178	176	91	118	101	116	94
AUSTRALI	F	180	176	98	121	101	113	91
AUSTRALI	F	186	183	99	132	96	110	91
AUSTRALI	F	190	186	99	130	96	111	85
AUSTRALI	F	172	167	93	121	97	110	89
AUSTRALI	F	180	176	96	122	97	107	95
AUSTRALI	F	169	167	92	122	97	111	86
AUSTRALI	F	172	170	94	121	95	111	85
AUSTRALI	F	175	173	89	117	95	113	94
AUSTRALI	F	182	179	96	123	96	114	90
AUSTRALI	F	181	176	97	121	101	120	100
AUSTRALI	F	182	177	97	125	103	119	100
AUSTRALI	F	187	182	101	126	103	115	92
AUSTRALI	F	188	184	96	127	101	112	94
AUSTRALI	F	188	185	98	122	105	114	92
AUSTRALI	F	172	168	92	122	100	108	89
AUSTRALI	F	177	172	98	126	101	112	90
AUSTRALI	F	187	182	97	123	98	107	89
AUSTRALI	F	178	175	95	132	100	114	94
AUSTRALI	F	196	192	105	132	99	120	95
AUSTRALI	F	185	181	96	118	99	110	99
AUSTRALI	F	181	175	95	124	104	114	95
AUSTRALI	F	178	175	95	115	108	107	90
AUSTRALI	F	179	176	98	126	100	117	97
AUSTRALI	F	186	182	96	127	101	107	83
AUSTRALI	F	175	174	97	120	95	104	90
AUSTRALI	F	185	178	98	125	103	120	101
AUSTRALI	F	184	180	101	125	105	105	97
AUSTRALI	F	178	175	100	127	104	109	88
AUSTRALI	F	182	179	94	124	96	108	91
AUSTRALI	F	183	178	94	119	100	110	87
AUSTRALI	F	187	183	99	136	102	115	91
AUSTRALI	F	178	176	94	121	98	112	93
AUSTRALI	F	172	170	94	119	103	104	85
AUSTRALI	F	192	185	99	123	102	116	99
AUSTRALI	F	173	169	93	118	97	105	85
AUSTRALI	F	181	180	97	124	96	110	89
AUSTRALI	F	169	165	91	118	92	110	86
AUSTRALI	F	183	180	95	125	104	107	90
AUSTRALI	F	176	170	93	114	107	110	85
AUSTRALI	F	190	187	99	130	109	117	94
AUSTRALI	F	180	177	92	127	96	111	91
AUSTRALI	F	177	172	96	120	103	107	86
PERU	M	183	180	99	130	96	114	94
PERU	M	180	174	99	130	99	120	95
PERU	M	177	176	92	129	97	113	97
PERU	M	175	175	96	129	93	117	100
PERU	M	178	178	92	126	86	111	90
PERU	M	182	181	99	136	94	114	93
PERU	M	186	183	100	131	98	119	101
PERU	M	192	190	105	146	104	126	101
PERU	M	178	176	95	133	97	119	102
PERU	M	180	180	102	143	99	123	101
PERU	M	182	179	93	135	92	114	96
PERU	M	176	174	98	123	96	112	103
PERU	M	192	190	96	128	99	124	105
PERU	M	172	169	95	133	89	117	91
PERU	M	182	181	98	129	95	113	96
PERU	M	184	182	97	144	95	117	99
PERU	M	183	180	99	128	100	113	99
PERU	M	178	176	98	135	93	121	94
PERU	M	170	169	93	125	88	109	92
PERU	M	179	177	101	132	101	118	97
PERU	M	182	180	100	134	94	118	97
PERU	M	169	168	93	128	92	115	102
PERU	M	181	180	99	130	97	112	94
PERU	M	173	172	97	122	96	114	99
PERU	M	174	173	94	128	91	118	100
PERU	M	172	170	91	127	88	110	93
PERU	M	172	169	97	137	93	116	96
PERU	M	178	177	93	129	92	117	103
PERU	M	175	174	93	125	93	117	93
PERU	M	183	182	96	131	97	119	101
PERU	M	174	172	94	129	95	114	101
PERU	M	181	181	98	129	97	116	99
PERU	M	172	172	93	132	85	116	93
PERU	M	173	172	96	124	99	115	95
PERU	M	176	174	94	124	96	115	94
PERU	M	177	175	90	124	91	112	91
PERU	M	170	169	96	131	92	115	94
PERU	M	184	181	101	135	99	118	100
PERU	M	178	175	100	130	103	123	106
PERU	M	180	178	101	130	97	120	95
PERU	M	175	171	93	129	91	115	96
PERU	M	176	175	95	132	95	117	97
PERU	M	178	177	97	132	93	118	92
PERU	F	169	168	92	128	90	110	93
PERU	F	177	176	99	130	97	108	90
PERU	F	168	167	87	126	87	104	90
PERU	F	169	168	88	124	89	106	89
PERU	F	175	174	99	132	96	112	97
PERU	F	167	167	91	125	93	109	94
PERU	F	168	169	89	125	80	105	91
PERU	F	167	166	83	117	82	109	92
PERU	F	171	171	92	126	87	106	91
PERU	F	170	169	86	121	90	104	85
PERU	F	160	160	86	124	87	111	94
PERU	F	173	172	89	125	94	107	92
PERU	F	165	164	87	127	84	104	85
PERU	F	169	166	85	122	86	108	92
PERU	F	172	172	95	123	94	111	95
PERU	F	176	172	93	127	86	109	93
PERU	F	169	169	89	121	89	105	90
PERU	F	178	177	95	131	91	113	90
PERU	F	164	163	89	129	85	109	96
PERU	F	177	176	93	126	98	107	96
PERU	F	170	168	90	127	90	108	90
PERU	F	172	172	89	122	88	115	99
PERU	F	176	174	94	128	90	110	96
PERU	F	171	170	94	127	93	111	93
PERU	F	169	168	95	131	84	108	96
PERU	F	176	174	92	126	93	113	93
PERU	F	169	169	93	128	96	111	98
PERU	F	164	164	87	120	85	104	82
PERU	F	176	176	93	117	94	114	99
PERU	F	164	164	86	122	86	108	93
PERU	F	170	171	86	119	85	105	86
PERU	F	157	156	93	127	92	113	92
PERU	F	167	166	85	128	83	113	88
PERU	F	161	159	90	118	88	111	91
PERU	F	171	171	99	134	90	114	96
PERU	F	175	175	98	129	95	112	93
PERU	F	176	176	92	133	89	113	99
PERU	F	171	170	92	128	89	115	93
PERU	F	175	175	92	128	90	110	93
PERU	F	160	160	90	120	89	109	90
PERU	F	173	172	94	126	89	111	86
PERU	F	160	159	88	121	86	109	95
PERU	M	177	174	94	135	90	115	97
PERU	M	182	180	93	134	90	112	94
PERU	M	175	174	94	127	91	119	94
PERU	M	188	187	103	136	97	124	109
PERU	M	173	170	93	129	91	113	89
PERU	M	178	176	95	124	92	111	97
PERU	M	178	176	94	137	95	111	93
PERU	M	182	180	100	135	96	117	98
PERU	M	173	171	94	132	92	117	97
PERU	M	168	165	88	129	85	111	94
PERU	M	176	174	92	121	98	115	96
PERU	M	176	176	92	123	91	117	95
PERU	F	158	158	90	120	86	102	86
PERU	F	164	164	92	129	90	108	91
PERU	F	166	165	91	120	93	112	96
PERU	F	166	164	88	125	88	106	94
PERU	F	172	170	89	127	85	105	93
PERU	F	169	167	88	124	84	106	88
PERU	F	168	166	89	125	90	103	93
PERU	F	166	165	89	121	85	104	84
PERU	F	168	165	90	123	89	112	94
PERU	F	174	174	93	125	85	110	88
PERU	F	161	160	88	120	86	104	88
PERU	F	168	168	90	122	89	102	87
PERU	F	168	166	86	121	89	103	91
EASTER	F	187	184	110	145	106	119	93
BUSHMAN	M	186	184	96	116	100	113	97
BUSHMAN	M	171	169	85	118	81	103	86
BUSHMAN	M	180	179	97	125	92	112	90
BUSHMAN	M	181	179	102	127	96	114	98
BUSHMAN	F	171	170	93	118	98	116	91
BUSHMAN	F	168	168	93	119	92	110	86
BUSHMAN	F	169	168	92	118	84	105	86
BUSHMAN	F	169	167	89	119	84	103	81
EASTER	M	197	192	117	155	111	125	106
EASTER	M	194	191	114	141	106	120	93
EASTER	M	201	198	116	150	116	125	105
EASTER	M	188	182	107	142	104	124	95
EASTER	M	190	188	109	139	104	118	91
EASTER	M	194	190	113	145	106	127	106
EASTER	M	181	178	110	140	102	116	89
EASTER	M	189	185	110	142	104	117	95
EASTER	M	187	183	107	142	103	114	97
EASTER	M	191	185	110	141	106	118	96
EASTER	M	199	194	110	141	105	119	106
EASTER	M	191	188	114	141	112	114	90
EASTER	M	180	178	102	142	105	118	102
EASTER	M	201	197	117	150	107	115	95
EASTER	M	183	179	108	141	102	120	98
EASTER	M	196	189	115	146	111	121	100
EASTER	M	191	186	110	144	103	114	88
EASTER	M	202	197	116	144	104	120	92
EASTER	M	203	198	114	145	112	118	98
EASTER	M	195	191	113	150	103	115	100
EASTER	M	188	184	109	143	101	117	96
EASTER	F	172	167	99	133	102	108	88
EASTER	M	190	186	120	154	112	128	106
EASTER	M	203	197	111	146	113	125	104
EASTER	M	189	185	111	140	106	118	94
EASTER	M	187	183	112	143	107	119	95
EASTER	M	190	187	113	150	107	122	105
EASTER	M	184	181	110	144	107	123	100
EASTER	M	191	188	109	141	101	116	91
EASTER	M	192	187	110	147	103	123	102
EASTER	M	192	187	111	150	103	115	95
EASTER	M	190	186	111	136	108	116	96
EASTER	M	187	181	107	148	106	124	101
EASTER	M	189	185	112	145	105	120	96
EASTER	M	194	189	111	141	101	124	107
EASTER	M	192	188	115	147	110	127	114
EASTER	M	187	184	110	145	103	115	90
EASTER	M	196	191	109	144	109	122	103
EASTER	M	191	187	109	143	107	115	100
EASTER	M	183	180	101	138	95	123	98
EASTER	M	190	186	108	148	102	114	92
EASTER	M	189	186	108	144	114	121	98
EASTER	M	199	191	111	144	111	117	97
EASTER	M	198	192	114	145	113	123	100
EASTER	M	201	195	116	153	114	124	106
EASTER	M	189	183	112	145	110	120	95
EASTER	M	193	188	112	145	109	123	101
EASTER	M	195	191	116	147	102	117	96
EASTER	M	193	188	112	154	106	117	99
EASTER	F	186	182	110	145	105	119	96
EASTER	F	180	177	110	139	103	116	94
EASTER	F	183	180	104	137	104	113	91
EASTER	F	180	178	104	140	102	118	99
EASTER	F	175	171	102	131	100	108	86
EASTER	F	185	181	108	140	100	115	93
EASTER	F	185	178	106	140	105	114	92
EASTER	F	188	183	105	135	104	110	92
EASTER	F	176	171	102	137	99	110	93
EASTER	F	180	177	107	140	100	104	85
EASTER	F	183	179	100	137	100	108	88
EASTER	F	172	169	98	132	94	113	91
EASTER	F	187	183	110	138	106	117	94
EASTER	F	177	174	106	137	101	114	92
EASTER	F	184	182	107	142	103	109	91
EASTER	F	183	179	100	137	102	118	101
EASTER	F	169	166	97	123	91	106	88
EASTER	F	186	182	104	138	100	105	82
EASTER	F	180	177	103	137	100	109	87
EASTER	F	180	174	103	135	102	112	90
EASTER	F	184	180	104	137	100	120	90
EASTER	F	192	188	111	138	110	112	88
EASTER	F	181	177	101	134	98	113	91
EASTER	F	172	168	102	131	101	114	89
EASTER	F	183	178	108	142	106	109	86
EASTER	F	183	180	104	134	97	109	91
EASTER	F	180	179	113	145	108	113	90
EASTER	F	180	176	102	136	96	108	88
EASTER	F	176	175	105	141	99	110	90
EASTER	F	179	176	105	136	102	111	94
EASTER	F	180	176	105	140	103	114	98
EASTER	F	187	183	106	137	104	116	97
EASTER	F	174	171	98	132	92	102	84
EASTER	F	183	180	106	137	100	110	89
EASTER	F	176	173	100	134	99	112	93
EASTER	M	200	196	111	145	105	121	94
