pop	sex	gol
BUSHMAN	M	182
BUSHMAN	M	179
BUSHMAN	M	186
BUSHMAN	M	182
BUSHMAN	M	180
BUSHMAN	M	180
BUSHMAN	M	173
BUSHMAN	M	178
BUSHMAN	M	168
BUSHMAN	M	176
BUSHMAN	M	188
BUSHMAN	M	191
BUSHMAN	M	171
BUSHMAN	M	184
BUSHMAN	M	191
BUSHMAN	M	181
BUSHMAN	M	174
BUSHMAN	M	181
BUSHMAN	M	176
BUSHMAN	M	174
BUSHMAN	M	179
BUSHMAN	M	177
BUSHMAN	M	178
BUSHMAN	M	181
BUSHMAN	M	186
BUSHMAN	M	168
BUSHMAN	M	180
BUSHMAN	M	183
BUSHMAN	M	178
BUSHMAN	M	178
BUSHMAN	M	172
BUSHMAN	M	170
BUSHMAN	M	164
BUSHMAN	M	172
BUSHMAN	M	177
BUSHMAN	M	172
BUSHMAN	M	185
BUSHMAN	F	174
BUSHMAN	F	178
BUSHMAN	F	179
BUSHMAN	F	180
BUSHMAN	F	170
BUSHMAN	F	167
BUSHMAN	F	167
BUSHMAN	F	175
BUSHMAN	F	173
BUSHMAN	F	167
BUSHMAN	F	170
BUSHMAN	F	180
BUSHMAN	F	171
BUSHMAN	F	179
BUSHMAN	F	175
BUSHMAN	F	162
BUSHMAN	F	169
BUSHMAN	F	163
BUSHMAN	F	171
BUSHMAN	F	168
BUSHMAN	F	164
BUSHMAN	F	166
BUSHMAN	F	161
BUSHMAN	F	169
BUSHMAN	F	168
BUSHMAN	F	179
BUSHMAN	F	178
BUSHMAN	F	172
BUSHMAN	F	165
BUSHMAN	F	167
BUSHMAN	F	173
BUSHMAN	F	184
BUSHMAN	F	172
BUSHMAN	F	174
BUSHMAN	F	177
BUSHMAN	F	166
BUSHMAN	F	173
BUSHMAN	F	180
BUSHMAN	F	164
BUSHMAN	F	169
BUSHMAN	F	172
BUSHMAN	F	181
BUSHMAN	F	182
BUSHMAN	F	171
BUSHMAN	F	172
